,x,y,labels,ACE2,TMPRSS2,EPCAM,a_labels,t_labels,e_labels
242,9.913161278,-8.412433624,0,0.0,0.0,0.0,0,0,0
243,9.099806786,-7.501734257,0,0.0,0.0,0.0,0,0,0
244,9.975721359,-8.740771294,0,0.0,0.0,0.0,0,0,0
245,9.376181602,-7.670083523,0,0.0,0.0,0.0,0,0,0
246,8.544757843,-8.099892616,0,0.0,0.0,0.0,0,0,0
247,9.325736046,-8.743952751,0,0.0,0.0,0.0,0,0,0
248,8.891430855,-8.906989098,0,0.0,0.0,0.0,0,0,0
249,9.715950966,-9.189834595,0,0.0,0.0,0.0,0,0,0
250,9.061011314,-7.800329208,0,0.0,0.0,0.0,0,0,0
251,9.019762039,-8.198606491,0,0.0,0.0,0.0,0,0,0
252,9.344202042,-9.441325188,0,0.0,0.0,0.0,0,0,0
253,9.88339138,-8.604556084,0,0.0,0.0,0.0,0,0,0
254,9.066514015,-8.424007416,0,0.0,0.0,0.0,0,0,0
255,8.589914322,-8.617437363,0,0.0,0.0,0.0,0,0,0
256,8.422333717,-8.561781883,0,0.0,0.0,0.0,0,0,0
257,8.695508957,-8.603018761,0,0.0,0.0,0.0,0,0,0
258,9.022857666,-8.168221474,0,0.0,0.0,0.0,0,0,0
259,9.507332802,-8.211790085,0,0.0,0.0,0.0,0,0,0
260,8.022566795,-8.354236603,0,0.0,0.0,0.0,0,0,0
261,9.647652626,-8.429977417,0,0.0,0.0,0.0,0,0,0
262,8.72588253,-8.812005997,0,0.0,0.0,0.0,0,0,0
263,9.633419037,-8.136097908,0,0.0,0.0,0.0,0,0,0
264,9.594368935,-8.778557777,0,0.0,0.0,0.0,0,0,0
265,9.296413422,-8.810951233,0,0.0,0.0,0.0,0,0,0
266,9.6734972,-8.04714489,0,0.0,0.0,0.0,0,0,0
267,8.792039871,-8.661838531,0,0.0,0.0,0.0,0,0,0
268,9.295791626,-7.959756374,0,0.0,0.0,0.0,0,0,0
269,9.445814133,-8.953276634,0,0.0,0.0,0.0,0,0,0
270,9.816161156,-8.922245979,0,0.0,0.0,0.0,0,0,0
271,9.13944912,-7.789793968,0,0.0,0.0,0.0,0,0,0
272,9.435408592,-8.4903965,0,0.0,0.0,0.0,0,0,0
273,8.914731026,-7.919256687,0,0.0,0.0,0.0,0,0,0
274,9.629542351,-8.418608665,0,0.0,0.0,0.0,0,0,0
275,9.439789772,-8.372524261,0,0.0,0.0,0.0,0,0,0
276,8.714787483,-8.617068291,0,0.0,0.0,0.0,0,0,0
277,9.777119637,-8.125080109,0,0.0,0.0,0.0,0,0,0
278,8.549938202,-8.332933426,0,0.0,0.0,0.0,0,0,0
279,9.806493759,-8.182631493,0,0.0,0.0,0.0,0,0,0
280,8.608634949,-8.240543365,0,0.0,0.0,0.0,0,0,0
281,8.802698135,-8.932632446,0,0.0,0.0,0.0,0,0,0
282,8.924455643,-7.679605484,0,0.0,0.0,0.0,0,0,0
283,9.357526779,-8.085272789,0,0.0,0.0,0.0,0,0,0
284,8.784757614,-8.110951424,0,0.0,0.0,0.0,0,0,0
285,8.068527222,-8.440005302,0,0.0,0.0,0.0,0,0,0
286,8.866844177,-8.284403801,0,0.0,0.0,0.0,0,0,0
287,8.817335129,-8.082842827,0,0.0,0.0,0.0,0,0,0
288,8.360647202,-7.947850704,0,0.0,0.0,0.0,0,0,0
289,8.822481155,-8.188014984,0,0.0,0.0,0.0,0,0,0
290,9.047537804,-8.982263565,0,0.0,0.0,0.0,0,0,0
291,8.551578522,-7.70388031,0,0.0,0.0,0.0,0,0,0
292,9.636181831,-9.061216354,0,0.0,0.0,0.0,0,0,0
293,9.086176872,-8.332205772,0,0.0,0.0,0.0,0,0,0
294,8.855399132,-8.836771011,0,0.0,0.0,0.0,0,0,0
295,9.474784851,-8.682590485,0,0.0,0.0,0.0,0,0,0
296,9.762896538,-8.429514885,0,0.0,0.0,0.0,0,0,0
297,9.306362152,-7.834242344,0,0.0,0.0,0.0,0,0,0
298,9.695550919,-9.174074173,0,0.0,0.0,0.0,0,0,0
299,8.525192261,-8.00336647,0,0.0,0.0,0.0,0,0,0
300,9.512698174,-8.701425552,0,0.0,0.0,0.0,0,0,0
301,8.532546997,-7.80259037,0,0.0,0.0,0.0,0,0,0
302,9.217585564,-7.883806705,0,0.0,0.0,0.0,0,0,0
303,9.397874832,-8.006669044,0,0.0,0.0,0.0,0,0,0
304,8.364454269,-8.138130188,0,0.0,0.0,0.0,0,0,0
305,8.984936714,-8.30150032,0,0.0,0.0,0.0,0,0,0
306,8.490989685,-7.757617474,0,0.0,0.0,0.0,0,0,0
307,9.641721725,-7.80331707,0,0.0,0.0,0.0,0,0,0
308,9.803723335,-8.33735466,0,0.0,0.0,0.0,0,0,0
309,9.15381813,-8.323377609,0,0.0,0.0,0.0,0,0,0
310,9.665121078,-8.256593704,0,0.0,0.0,0.0,0,0,0
311,9.431609154,-8.403283119,0,0.0,0.0,0.0,0,0,0
312,8.637288094,-7.960097313,0,0.0,0.0,0.0,0,0,0
313,9.363804817,-7.922865868,0,0.0,0.0,0.0,0,0,0
314,8.262897491,-7.826690197,0,0.0,0.0,0.0,0,0,0
315,9.24855423,-7.700636864,0,0.0,0.0,0.0,0,0,0
316,9.157678604,-7.962556839,0,0.0,0.0,0.0,0,0,0
317,8.314562798,-7.849282265,0,0.0,0.0,0.0,0,0,0
318,9.485647202,-8.196800232,0,0.0,0.0,0.0,0,0,0
319,9.737605095,-7.808122635,0,0.0,0.0,0.0,0,0,0
320,9.375902176,-8.915593147,0,0.0,0.0,0.0,0,0,0
321,9.289682388,-8.943896294,0,0.0,0.0,0.0,0,0,0
322,8.749895096,-8.740382195,0,0.0,0.0,0.0,0,0,0
323,8.626318932,-7.79045248,0,0.0,0.0,0.0,0,0,0
324,9.176420212,-8.358307838,0,0.0,0.0,0.0,0,0,0
325,8.886722565,-8.69792366,0,0.0,0.0,0.0,0,0,0
326,9.86743927,-8.254556656,0,0.0,0.0,0.0,0,0,0
327,9.256401062,-7.760993958,0,0.0,0.0,0.0,0,0,0
328,9.461462975,-9.633059502,0,0.0,0.0,0.0,0,0,0
329,8.2320261,-8.260702133,0,0.0,0.0,0.0,0,0,0
330,7.891354561,-7.339213848,26,0.0,0.0,0.0,26,26,26
331,9.384526253,-8.575360298,0,0.0,0.0,0.0,0,0,0
332,8.79079628,-7.994554996,0,0.0,0.0,0.0,0,0,0
333,9.081830978,-8.968073845,0,0.0,0.0,0.0,0,0,0
334,9.840707779,-8.431052208,0,0.0,0.0,0.0,0,0,0
335,9.474473,-7.836156368,0,0.0,0.0,0.0,0,0,0
336,8.160962105,-8.083825111,0,0.0,0.0,0.0,0,0,0
337,9.257450104,-8.148072243,0,0.0,0.0,0.0,0,0,0
338,9.420473099,-7.876515865,0,0.0,0.0,0.0,0,0,0
339,9.133065224,-7.823912621,0,0.0,0.0,0.0,0,0,0
340,9.569412231,-8.160132408,0,0.0,0.0,0.0,0,0,0
341,8.762320518,-8.492191315,0,0.0,0.0,0.0,0,0,0
342,9.583452225,-8.079838753,0,0.0,0.0,0.0,0,0,0
343,8.396324158,-7.901297092,0,0.0,0.0,0.0,0,0,0
344,8.179118156,-8.098349571,0,0.0,0.0,0.0,0,0,0
345,8.227713585,-8.072514534,0,0.0,0.0,0.0,0,0,0
346,9.476407051,-9.039808273,0,0.0,0.0,0.0,0,0,0
347,8.629703522,-8.111578941,0,0.0,0.0,0.0,0,0,0
348,8.405044556,-8.103406906,0,0.0,0.0,0.0,0,0,0
349,8.877859116,-7.654812336,0,0.0,0.0,0.0,0,0,0
350,9.643058777,-7.719576359,0,0.0,0.0,0.0,0,0,0
351,9.402248383,-9.187788963,0,0.0,0.0,0.0,0,0,0
352,9.323848724,-8.118558884,0,0.0,0.0,0.0,0,0,0
353,9.058095932,-7.6615448,0,0.0,0.0,0.0,0,0,0
354,9.249792099,-9.300395012,0,0.0,0.0,0.0,0,0,0
355,9.473938942,-8.648429871,0,0.0,0.0,0.0,0,0,0
356,9.09383297,-8.65045929,0,0.0,0.0,0.0,0,0,0
357,9.410923958,-9.4177351,0,0.0,0.0,0.0,0,0,0
358,9.344064713,-9.093191147,0,0.0,0.0,0.0,0,0,0
359,9.661147118,-8.952620506,0,0.0,0.0,0.0,0,0,0
360,8.83707428,-7.628694057,0,0.0,0.0,0.0,0,0,0
361,9.432395935,-8.699994087,0,0.0,0.0,0.0,0,0,0
362,9.34709549,-8.139103889,0,0.0,0.0,0.0,0,0,0
363,9.256136894,-8.191076279,0,0.0,0.0,0.0,0,0,0
364,8.314517021,-7.989220619,0,0.0,0.0,0.0,0,0,0
365,8.165078163,-8.643877983,0,0.0,0.0,0.0,0,0,0
366,9.211981773,-8.52329731,0,0.0,0.0,0.0,0,0,0
367,9.419121742,-7.91192627,0,0.0,0.0,0.0,0,0,0
368,8.622806549,-7.972414494,0,0.0,0.0,0.0,0,0,0
369,9.294881821,-8.582435608,0,0.0,0.0,0.0,0,0,0
370,9.672843933,-8.716243744,0,0.0,0.0,0.0,0,0,0
371,9.482343674,-8.801577568,0,0.0,0.0,0.0,0,0,0
372,9.57610321,-8.818203926,0,0.0,0.0,0.0,0,0,0
373,9.539166451,-7.887635231,0,0.0,0.0,0.0,0,0,0
374,9.254958153,-7.796299934,0,0.0,0.0,0.0,0,0,0
375,9.581997871,-8.189910889,0,0.0,0.0,0.0,0,0,0
376,9.256490707,-8.392450333,0,0.0,0.0,0.0,0,0,0
377,8.911044121,-7.998879433,0,0.0,0.0,0.0,0,0,0
378,9.581618309,-8.619228363,0,0.0,0.0,0.0,0,0,0
379,9.64680481,-8.406663895,0,0.0,0.0,0.0,0,0,0
380,9.632265091,-9.16650486,0,0.0,0.0,0.0,0,0,0
381,9.474134445,-8.688357353,0,0.0,0.0,0.0,0,0,0
382,9.714827538,-8.387706757,0,0.0,0.0,0.0,0,0,0
383,9.632191658,-8.316469193,0,0.0,0.0,0.0,0,0,0
384,8.930522919,-8.572927475,0,0.0,0.0,0.0,0,0,0
385,9.062889099,-8.143392563,0,0.0,0.0,0.0,0,0,0
386,9.026796341,-8.346609116,0,0.0,0.0,0.0,0,0,0
387,9.321134567,-8.95759201,0,0.0,0.0,0.0,0,0,0
388,8.868321419,-7.91588068,0,0.0,0.0,0.0,0,0,0
389,9.105050087,-8.341635704,0,0.0,0.0,0.0,0,0,0
390,9.679365158,-8.172962189,0,0.0,0.0,0.0,0,0,0
391,10.12378407,-8.206105232,0,0.0,0.0,0.0,0,0,0
392,8.959184647,-8.05014801,0,0.0,0.0,0.0,0,0,0
393,9.702262878,-8.557907104,0,0.0,0.0,0.0,0,0,0
394,9.483878136,-8.839473724,0,0.0,0.0,0.0,0,0,0
